Symbol,Stock Type
A,sp500
AAL,sp500
AAP,sp500
AAPL,sp500
ABBV,sp500
ABC,sp500
ABMD,sp500
ABT,sp500
ACN,sp500
ADBE,sp500
ADI,sp500
ADM,sp500
ADP,sp500
ADSK,sp500
AEE,sp500
AEP,sp500
AES,sp500
AFL,sp500
AIG,sp500
AIZ,sp500
AJG,sp500
AKAM,sp500
ALB,sp500
ALGN,sp500
ALK,sp500
ALL,sp500
ALLE,sp500
AMAT,sp500
AMCR,sp500
AMD,sp500
AME,sp500
AMGN,sp500
AMP,sp500
AMT,sp500
AMZN,sp500
ANET,sp500
ANSS,sp500
ANTM,sp500
AON,sp500
AOS,sp500
APA,sp500
APD,sp500
APH,sp500
APTV,sp500
ARE,sp500
ATO,sp500
ATVI,sp500
AVB,sp500
AVGO,sp500
AVY,sp500
AWK,sp500
AXP,sp500
AZO,sp500
BA,sp500
BAC,sp500
BAX,sp500
BBWI,sp500
BBY,sp500
BDX,sp500
BEN,sp500
BF-B,sp500
BIIB,sp500
BIO,sp500
BK,sp500
BKNG,sp500
BKR,sp500
BLK,sp500
BLL,sp500
BMY,sp500
BR,sp500
BRO,sp500
BSX,sp500
BWA,sp500
BXP,sp500
C,sp500
CAG,sp500
CAH,sp500
CARR,sp500
CAT,sp500
CB,sp500
CBOE,sp500
CBRE,sp500
CCI,sp500
CCL,sp500
CDAY,sp500
CDNS,sp500
CDW,sp500
CE,sp500
CEG,sp500
CERN,sp500
CF,sp500
CFG,sp500
CHD,sp500
CHRW,sp500
CHTR,sp500
CI,sp500
CINF,sp500
CL,sp500
CLX,sp500
CMA,sp500
CME,sp500
CMG,sp500
CMI,sp500
CMS,sp500
CNC,sp500
CNP,sp500
COF,sp500
COO,sp500
COP,sp500
COST,sp500
CPB,sp500
CPRT,sp500
CRL,sp500
CRM,sp500
CSCO,sp500
CSX,sp500
CTAS,sp500
CTLT,sp500
CTRA,sp500
CTSH,sp500
CTVA,sp500
CTXS,sp500
CVS,sp500
CVX,sp500
CZR,sp500
D,sp500
DAL,sp500
DD,sp500
DE,sp500
DFS,sp500
DG,sp500
DGX,sp500
DHI,sp500
DHR,sp500
DIS,sp500
DISH,sp500
DLR,sp500
DLTR,sp500
DOV,sp500
DOW,sp500
DPZ,sp500
DRE,sp500
DRI,sp500
DTE,sp500
DUK,sp500
DVA,sp500
DVN,sp500
DXC,sp500
DXCM,sp500
EA,sp500
EBAY,sp500
ECL,sp500
ED,sp500
EFX,sp500
EIX,sp500
EL,sp500
EMN,sp500
EMR,sp500
ENPH,sp500
EOG,sp500
EPAM,sp500
EQIX,sp500
EQR,sp500
ES,sp500
ESS,sp500
ETN,sp500
ETR,sp500
ETSY,sp500
EVRG,sp500
EW,sp500
EXC,sp500
EXPD,sp500
EXPE,sp500
EXR,sp500
F,sp500
FANG,sp500
FAST,sp500
FB,sp500
FBHS,sp500
FCX,sp500
FDS,sp500
FDX,sp500
FE,sp500
FFIV,sp500
FIS,sp500
FISV,sp500
FITB,sp500
FLT,sp500
FMC,sp500
FOX,sp500
FOXA,sp500
FRC,sp500
FRT,sp500
FTNT,sp500
FTV,sp500
GD,sp500
GE,sp500
GILD,sp500
GIS,sp500
GL,sp500
GLW,sp500
GM,sp500
GNRC,sp500
GOOG,sp500
GPC,sp500
GPN,sp500
GRMN,sp500
GS,sp500
GWW,sp500
HAL,sp500
HAS,sp500
HBAN,sp500
HCA,sp500
HD,sp500
HES,sp500
HIG,sp500
HII,sp500
HLT,sp500
HOLX,sp500
HON,sp500
HPE,sp500
HPQ,sp500
HRL,sp500
HSIC,sp500
HST,sp500
HSY,sp500
HUM,sp500
HWM,sp500
IBM,sp500
ICE,sp500
IDXX,sp500
IEX,sp500
IFF,sp500
ILMN,sp500
INCY,sp500
INTC,sp500
INTU,sp500
IP,sp500
IPG,sp500
IPGP,sp500
IQV,sp500
IR,sp500
IRM,sp500
ISRG,sp500
IT,sp500
ITW,sp500
IVZ,sp500
J,sp500
JBHT,sp500
JCI,sp500
JKHY,sp500
JNJ,sp500
JNPR,sp500
JPM,sp500
K,sp500
KEY,sp500
KEYS,sp500
KHC,sp500
KIM,sp500
KLAC,sp500
KMB,sp500
KMI,sp500
KMX,sp500
KO,sp500
KR,sp500
L,sp500
LDOS,sp500
LEN,sp500
LH,sp500
LHX,sp500
LIN,sp500
LKQ,sp500
LLY,sp500
LMT,sp500
LNC,sp500
LNT,sp500
LOW,sp500
LRCX,sp500
LUMN,sp500
LUV,sp500
LVS,sp500
LW,sp500
LYB,sp500
LYV,sp500
MA,sp500
MAA,sp500
MAR,sp500
MAS,sp500
MCD,sp500
MCHP,sp500
MCK,sp500
MCO,sp500
MDLZ,sp500
MDT,sp500
MET,sp500
MGM,sp500
MHK,sp500
MKC,sp500
MKTX,sp500
MLM,sp500
MMC,sp500
MMM,sp500
MNST,sp500
MO,sp500
MOH,sp500
MOS,sp500
MPC,sp500
MPWR,sp500
MRK,sp500
MRNA,sp500
MRO,sp500
MS,sp500
MSCI,sp500
